module_id,category,title,level,description,image,lessons_count
11,Poker Heroes,Poker Heroes,Débutant,"Les hommes et femmes qui ont marqué l'histoire du poker. Leurs runs légendaires, leurs styles uniques, leurs mains mythiques — des portraits qui inspirent autant qu'ils enseignent.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/categories/HEROES.webp,21
12,Poker History,Origines et fondations du poker,Débutant,"D'où vient vraiment le poker ? Retrace les premières traces du jeu, ses influences européennes et asiatiques, et les versions primitives qui ont posé les bases de ce qu'on joue aujourd'hui.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Heroes_H1_Origines%20et%20fondations%20du%20poker.webp,6
13,Poker History,L’ère du poker live moderne (1970–1999),Débutant,"Las Vegas, les WSOP, Binion's Horseshoe. Trente ans où le poker quitte les arrière-salles pour devenir un sport de compétition avec ses stars, ses scandales et ses grandes heures.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Heroes_H2.webp,6
14,Poker History,La révolution online (2000–2009),Débutant,"Chris Moneymaker, PokerStars, le poker boom. Internet transforme le jeu du tout au tout : explosion des joueurs, montée des amateurs et naissance d'une nouvelle génération de pros.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Heroes_H3.webp,7
15,Poker History,L’ère de la théorie et des données (2010–2016),Débutant,"Les solvers arrivent, le jeu se mathématise. Les regs professionnalisent leur approche, les études s'intensifient et la frontière entre amateur et pro devient plus nette que jamais.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Heroes_H4.webp,7
16,Poker History, Le poker contemporain (2017 → aujourd’hui),Débutant,"GTO mainstream, poker en streaming, super high rollers, IA et scandales de triche. Le poker aujourd'hui, dans toute sa complexité et son effervescence.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Heroes_H5.webp,8
17,Poker History,Évolution des stratégies à travers le temps,Avancé,Comment le jeu lui-même a changé : de la loose agressivité des années 2000 à l'équilibre GTO actuel. Une lecture stratégique de l'histoire pour mieux comprendre le présent.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Heroes_H6.webp,8
18,Poker History,"Poker, société et futur",Intermédiaire,"Le poker comme miroir culturel. Cinéma, politique, psychologie, crypto et IA — où se situe le jeu dans la société, et où va-t-il ?",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Heroes_H7.webp,8
19,Poker Mental,Fondations du mental au poker,Débutant,"Comprendre pourquoi le mental est une compétence, pas un trait de caractère. Les bases de la psychologie du poker : prise de décision, biais cognitifs et fondations d'un jeu stable.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Mentality_M1_Fondations%20du%20mental%20au%20poker.webp,10
20,Poker Mental,Le tilt sous toutes ses formes,Débutant,"Tilt de pertes, de mauvaises plays, de table dynamique. Reconnaître ses déclencheurs, comprendre les mécanismes et apprendre à couper le cycle avant qu'il coûte cher.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Mentality_M2_Le%20tilt%20sous%20toutes%20ses%20formes.webp,14
21,Poker Mental,Gestion émotionnelle en jeu,Intermédiaire,"Rester lucide sous pression. Techniques de régulation émotionnelle, respiration, ancrage — des outils concrets pour garder la tête froide quand les enjeux montent.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Mentality_M3.webp,10
22,Poker Mental,Mental de performance et prise de décision,Intermédiaire,"Les meilleurs joueurs pensent différemment sous stress. Focus, routines de jeu, flow state et qualité de décision — construis un mental de compétiteur.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Mentality_M4.webp,10
23,Poker Mental,Travail mental hors-table,Avancé,"Le mental se travaille loin du feutre. Méditation, journaling, visualisation, sommeil et alimentation — ce que les pros font entre les sessions pour performer dedans.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Mentality_M5.webp,10
24,Poker Mental,"Variance, downswings et résilience",Expert,"Les downswings font partie du jeu. Accepter la variance, maintenir la confiance malgré les résultats, éviter les ajustements émotionnels — la résilience du vrai grinder.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Mentality_M6.webp,10
25,Poker Mental,Mental avancé & longévité,Expert,"Pour ceux qui jouent sur le long terme. Burnout, identité de joueur, rapport à l'argent, évolution psychologique — construis une carrière qui dure sans te consumer.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Mentality_M7.webp,10
26,Poker Statistiques,Comprendre les statistiques (bases),Débutant,"Avant de lire un HUD, il faut comprendre ce que les stats mesurent. VPIP, PFR, AF — les fondamentaux statistiques et ce qu'ils révèlent sur le style de jeu d'un adversaire.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Stats_ST1.webp,6
27,Poker Statistiques,Les statistiques essentielles du HUD,Intermédiaire,"Quelles stats afficher, pourquoi et comment les interpréter en temps réel. Un tour complet des métriques clés pour construire un HUD utile sans le surcharger.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Stats_ST2.webp,10
28,Poker Statistiques,Utiliser les stats en jeu (application),Intermédiaire,"La stat seule ne suffit pas — c'est le contexte qui donne le sens. Comment combiner les données pour ajuster ses décisions en live, spot par spot.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Stats_ST3.webp,6
29,Poker Statistiques,"Notes, population & stats globales",Avancé,"Au-delà de l'adversaire individuel : comprendre les tendances de population, les notes de joueurs et les patterns récurrents pour exploiter les profils à grande échelle.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Stats_ST4.webp,6
30,Poker Statistiques,Les stats sans HUD (lecture indirecte),Expert,"Sur les sites interdits de HUD ou en live, les stats existent quand même — dans le comportement, le timing, le sizing. Lis le jeu sans les chiffres.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Stats_ST5.webp,5
31,Poker Statistiques,Synthèse & cadre d’utilisation,Avancé,"Comment intégrer les statistiques dans une routine d'étude cohérente. Limites des données, erreurs d'interprétation fréquentes et cadre pour utiliser les stats avec discernement.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Stats_ST6.webp,6
32,Poker Strategies,Fondamentaux stratégiques du poker,Débutant,"Les piliers qui structurent toute décision : equity, pot odds, position, initiative. Ce module pose le vocabulaire et la logique sur lesquels tous les autres s'appuient.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S1.webp,15
33,Poker Strategies,Stratégies contre les profils adverses,Intermédiaire,"Fish, reg tight, LAG, maniac — chaque profil demande une adaptation. Apprends à identifier rapidement ton adversaire et à calibrer ton exploitation en conséquence.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S2.webp,16
34,Poker Strategies,Stratégies par phases de tournoi,Intermédiaire,"Early, middle, late, bubble, ITM, final table — chaque phase a ses propres règles et pression. Ajuste ta stratégie au contexte du tournoi plutôt que de jouer en pilote automatique.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S3.webp,17
35,Poker Strategies,Stratégies par profondeur de stack,Avancé,"20bb, 40bb, 100bb+ : la profondeur change tout. Comprends comment adapter ton jeu selon les stacks en présence et maximise tes décisions à chaque profondeur.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S4.webp,13
36,Poker Strategies,Stratégies par BUY-IN,Intermédiaire,"Le comportement des joueurs varie selon les enjeux. Low, mid, high stakes — apprends les tendances propres à chaque niveau pour affiner ton edge à l'endroit où tu joues.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S5.webp,13
37,Poker Strategies,Stratégies de pression & domination,Avancé,"Comment imposer ton jeu : 3-bet light, steal de blindes, resteal, squeeze. Les stratégies qui mettent la pression sur la table et forcent tes adversaires à réagir.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S6.webp,9
38,Poker Strategies,Stratégies défensives & protection d’EV,Expert,"Savoir résister à la pression, défendre ses blindes, éviter les spots -EV et protéger son stack dans les situations défavorables. Le jeu défensif est aussi une arme.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S7.webp,8
39,Poker Strategies,Méta-stratégies & vision long terme,Expert,"Image de table, table selection, game selection, évolution du métagame. La vision macro qui permet de choisir les bons spots, les bons tournois et de grandir comme joueur.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Poker%20Strategies_S8.webp,10
