lesson_id,module_id,num,title,subtitle,image
30,2,10,Erreurs mentales du débutant,Les pires erreurs au poker ne sont souvent pas techniques — elles sont émotionnelles. Les biais les plus fréquents chez les débutants et comment commencer à les corriger.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L10.webp
31,2,11,Stack effectif & profondeur,Le stack le plus petit à la table détermine la profondeur du jeu. Comprends cette notion clé pour ajuster ton jeu en fonction des situations de stack réelles à chaque table.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L11.webp
32,2,12,"Sizings logiques (¼, ½, ¾ pot : pourquoi)","Pas de sizing au hasard. Apprends à relier la taille de tes mises à tes objectifs : extraire de la value, générer des folds, protéger ta main ou contrôler le pot.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L12.webp
33,2,13,Contrôle du pot,"Parfois, le mieux est de garder le pot petit. Quand et comment utiliser le pot control pour ne pas sur-engager avec une main medium et rester à l'aise dans les décisions suivantes.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L13.webp
34,2,14,Lecture adverse (bases),"Observer, analyser, déduire. Les premières étapes pour lire tes adversaires : timing, sizing, lignes prises — commencer à construire une image de leurs mains à partir de leurs actions.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L14.webp
35,2,15,Tirages & calcul d’outs,"Quinte flush draw, couleur, two pair — combien de cartes t'aident ? Reviens sur le calcul d'outs avec plus de précision et apprends à évaluer la force réelle de tes tirages.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L15.webp
36,2,16,Banque de temps & décisions,"Le temps est une ressource au poker. Savoir quand utiliser sa time bank, comment gérer le rythme de jeu et ne pas laisser la pression temporelle dégrader la qualité de tes décisions.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L16.webp
37,2,17,Gestion de tilt in-game,"Le tilt arrive, souvent vite. Reconnaître les signes avant-coureurs en cours de session et appliquer des techniques simples pour revenir à un état de jeu rationnel.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L17.webp
38,2,18,Finir une session proprement,"Comment on clôt une session : stop-loss, stop-win, debriefing mental. Les habitudes qui séparent les joueurs qui progressent de ceux qui stagnent entre deux sessions.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L18.webp
39,2,19,Mini-quiz stratégique,"Un test rapide pour valider tes acquis du module 2. Quelques spots à analyser, des situations concrètes — mesure ce que tu as vraiment intégré avant d'aller plus loin.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L19.webp
40,2,20,Bilan du Module 2 : Les Fondations Stratégiques,"Le module stratégique de base est terminé. Fais le point sur tes apprentissages, identifie ce qui reste flou et prépare-toi à entrer dans le jeu préflop structuré.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L20.webp
41,3,1,L’importance du préflop,Tout commence avant le flop. Le préflop conditionne la suite de chaque main — un mauvais call ou un open raté et tu joues déjà en difficulté. Comprends pourquoi c'est le pilier de tout.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L01.webp
42,3,2,Les ranges d’open,"Quelles mains ouvrir, depuis quelle position, avec quel sizing ? Les ranges d'open sont la colonne vertébrale du jeu préflop. Construis une base solide et cohérente pour chaque spot.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L02.webp
43,3,3,Défense des blinds,"La SB et la BB sont des positions sous pression. Apprends quand défendre, quand plier et comment construire ta range de défense face aux différents types de stealers.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L03.webp
44,3,4,Le 3-bet : bases,"Relancer la relance — pour la value ou comme bluff. Les fondamentaux du 3-bet : quelles mains, depuis quelle position, avec quelle sizing, et pourquoi c'est indispensable à ton arsenal.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L04.webp
45,3,5,Les 4-bets et 5-bets : l’art de la guerre préflop,"Quand le préflop s'emballe. Les situations de 4-bet et 5-bet, les ranges qui vont avec, les sizings adaptés et comment éviter de se retrouver coincé dans un pot gigantesque avec la mauvaise main.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L05.webp
46,3,6,Flat call ou squeeze : choisir son terrain,"Appeler un raise en présence d'autres joueurs, c'est risqué — le squeeze guette. Quand flat caller est justifié et quand le squeeze devient la meilleure option pour récupérer le pot.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L06.webp
47,3,7,Isoler les limpers : prendre l’initiative,"Un limp au milieu d'une table — c'est une opportunité. Comment construire ta range d'isolation, choisir ton sizing et transformer la faiblesse adverse en profit préflop.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L07.webp
48,3,8,Steal & Resteal : l’art du vol maîtrisé,"Voler les blindes en fin de table est une des actions les plus rentables du poker de tournoi. Quand stealer, comment, et surtout comment riposer quand quelqu'un tente de te voler.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L08.webp
49,3,9,Le stack effectif préflop : la vraie profondeur,Le stack effectif change tout : avec 15bb on ne joue pas comme avec 50bb. Comment adapter tes décisions préflop en fonction des profondeurs de stacks réelles en présence.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L09.webp
50,3,10,Limp pot SB / BB : comprendre le jeu des blinds complétées,Quand tout le monde limpe et que tu es en BB — ou en SB face à un limp. Les situations de limp pot ont leur propre dynamique. Comment les naviguer avec profit plutôt que de les subir.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L10.webp
51,3,11,Les pots multiway : quand le nombre devient l’adversaire,"Un pot à 4 joueurs, ce n'est pas la même chose qu'un heads-up. Comprends comment ajuster tes ranges et tes intentions dans les pots multiway où l'équité se partage différemment.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L11.webp
52,3,12,Le jeu short-stack : quand chaque jeton compte,"En dessous de 20bb, le jeu change radicalement. Les bases du short-stack play : push/fold, ranges de jam, calcul d'equity — jouer efficacement quand les chips se font rares.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L12.webp
53,3,13,Le jeu middle-stack : l’art de la pression maîtrisée,"Entre 20 et 40bb, ni court ni profond — le middle-stack est une zone délicate. Comment maintenir la pression sans sur-engager et éviter les spots inconfortables postflop.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L13.webp
54,3,14,"Le jeu deep-stack : profondeur, contrôle et vision","Avec 100bb+, le jeu s'ouvre et les décisions postflop deviennent déterminantes. Comment adapter ton préflop quand tu as de la profondeur, et quelles mains prennent de la valeur.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L14.webp
55,3,15,Les reraises light : l’art de reprendre le contrôle,Relancer sans nécessairement une main premium — pour prendre l'initiative ou déstabiliser. Les conditions qui rendent un reraise light profitable et les erreurs à éviter.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L15.webp
56,3,16,Relances spécifiques en PKO : la stratégie du chasseur,"Dans les tournois PKO, les bounties changent le calcul de l'EV. Comment ajuster tes ranges préflop quand une prime est en jeu et que call ou jam devient soudainement plus attractif.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L16.webp
57,3,17,Les erreurs préflop typiques : éviter les pièges du début de main,"Trop limper, trop flat, over-fold ou over-call — les fautes préflop les plus fréquentes et leurs conséquences en cascade sur toute la main. Identifie et corrige tes fuites.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L17.webp
58,3,18,Quiz préflop,Des spots préflop concrets à trancher : open ou fold ? 3-bet ou call ? Push ou raise-call ? Un quiz pour tester ta logique préflop dans des situations réelles.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L18.webp
59,3,19,Construire un plan de main dès le préflop,"Le plan de main commence avant le flop. Comment intégrer dès le préflop la texture probable du board, le profil adverse et tes objectifs pour construire une ligne cohérente de A à Z.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L19.webp
60,3,20,Bilan du module 3 : la fondation de tout,"Le préflop n'a plus de secrets pour toi. Reviens sur les concepts essentiels, consolide ta compréhension et prépare-toi à entrer dans le jeu postflop avec une base solide.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M3-L20.webp
61,4,1,Lire le board : comprendre ce que racontent les cartes,"Avant d'agir, lis la texture. Dry, wet, monotone, coordonné — chaque board change radicalement ce que tu dois faire. Apprends à décoder le flop en quelques secondes.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L01.webp
62,4,2,"Le C-bet : quand, pourquoi et comment","La continuation bet, c'est l'acte fondateur du jeu postflop. Quand c-bet, combien, avec quoi — construis ta stratégie de c-bet en t'appuyant sur des critères logiques plutôt qu'instinctifs.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L02.webp
63,4,3,Check-call et check-raise : l’art de laisser parler l’adversaire,"Parfois, checker n'est pas signe de faiblesse. Check-call pour piéger, check-raise pour relancer la pression — comprends quand chaque ligne est optimale et comment l'exécuter.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L03.webp
64,4,4,Le deuxième barrel : continuer la pression,Tirer une deuxième fois — sur le turn — demande plus de justification. Quelles cartes de turn favorisent une deuxième mise ? Comment construire une range de double barrel cohérente.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L04.webp
65,4,5,Rivers complexes : savoir give-up ou value,"La river est la décision finale — sans carte salvatrice possible. Comment naviguer les rivers avec une main medium, identifier le bon sizing de value ou de bluff, et éviter les erreurs coûteuses.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L05.webp
66,4,6,Les value bets postflop : trouver la bonne mesure,Avoir la meilleure main postflop ne suffit pas — il faut être payé. Construis des lignes de value qui extraient le maximum tout en restant crédibles sur tous les runouts.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L06.webp
67,4,7,Le bluff postflop : structurer son plan de bluff,"Un bluff postflop réussi repose sur une histoire cohérente. Quand bluffer, sur quelles textures, face à quels profils — les conditions qui rendent un bluff postflop fondé, pas juste courageux.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L07.webp
68,4,8,Semi-bluff et équité : quand tirer parti d’un tirage,"Miser avec un tirage, c'est attaquer sur deux fronts à la fois. Le semi-bluff combine la fold equity immédiate et l'equity future — apprends à l'intégrer dans tes lignes postflop.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L08.webp
69,4,9,Jeu en position et hors position : adapter son agressivité,"Agir en dernier donne un avantage énorme postflop. Comment exploiter la position pour contrôler le pot et l'information, et comment minimiser les pertes quand tu es hors position.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L09.webp
70,4,10,Contrôle du pot avancé : limiter les dégâts,"Pot control, c'est une stratégie, pas une hésitation. Comment gérer la taille du pot activement sur plusieurs streets pour rester dans des situations confortables avec tes mains marginales.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L10.webp
71,4,11,Lecture des mises adverses : tendances population online,"Chaque sizing est un message. Petit bet, overbet, check — apprends à décoder les informations que tes adversaires envoient avec leurs mises pour affiner ta lecture en temps réel.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L11.webp
72,4,12,Board pairing & flush draws : adapter ses sizings,"Quand le board paire ou complète une couleur, tout change. Comment réagir face à ces cartes de danger : protéger, bluffer ou ralentir selon la situation et ton adversaire.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L12.webp
73,4,13,Jeu sur texture haute : T–J–Q–K–A,Ace-King-Queen : des boards où tout le monde peut avoir quelque chose. Stratégies spécifiques pour les textures hautes et coordonnées où la pression doit être calibrée avec précision.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L13.webp
74,4,14,Jeu sur texture basse : low boards & limp pots,2-5-7 rainbow — qui peut vraiment avoir quoi ici ? Les boards bas et secs favorisent souvent le préflop aggressor. Comment exploiter ces textures et maintenir la pression efficacement.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L14.webp
75,4,15,Multiway postflop : plans conservateurs,"À trois joueurs ou plus, l'equity se dilue et le bluff devient risqué. Adapte ta stratégie postflop dans les pots multiway : mise plus sélectivement, value bet plus gros, bluff moins.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L15.webp
76,4,16,Overbet & petit sizing : exploiter les extrêmes,"Des sizings atypiques pour des effets précis. L'overbet pour forcer des folds ou maximiser la value, le petit sizing pour induire des erreurs. Quand et comment sortir du sizing standard.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L16.webp
77,4,17,Lire les ranges adverses : déduction logique,Chaque action réduit la range de ton adversaire. Comment mettre à jour mentalement la range de tes adversaires à chaque street pour prendre les meilleures décisions en fin de main.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L17.webp
78,4,18,Équilibrer ses lignes : ne pas être lisible,"Si tu ne check-raises qu'avec des monstres, tu es lisible. L'équilibre, c'est rendre tes lignes suffisamment imprévisibles pour ne pas être exploité par les joueurs attentifs.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L18.webp
79,4,19,mi-quizz ,"À mi-parcours du module, un check rapide. Des mains postflop à analyser pour tester tes réflexes, identifier tes zones de flou et renforcer les concepts avant la dernière ligne droite.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L19.webp
80,4,20,Bilan du module 4 : la grammaire du jeu postflop,"Module postflop terminé. Fais le bilan de ce que tu as appris, repère ce qui mérite encore du travail et prépare-toi à passer à la vitesse supérieure dans les modules avancés.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M4-L20.webp
81,5,1,Cotes du pot & cotes implicites : comprendre la rentabilité immédiate et future d’un call,"Pot odds ou implied odds — deux façons de mesurer si un call est rentable. Comprends la différence, quand chaque concept s'applique et comment intégrer ces calculs naturellement en jeu.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L01.webp
82,5,2,Expected Value (EV) : penser comme un joueur gagnant,L'EV est la boussole du poker rationnel. Chaque décision a une valeur espérée positive ou négative — apprends à calculer l'EV de tes actions pour choisir systématiquement la ligne la plus rentable.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L01.webp
83,5,3,Équité contre range : comment estimer tes chances contre l’ensemble des mains adverses,"Tu ne joues pas contre une main précise, mais contre un éventail. Comment calculer ton équité face à une range adverse et utiliser cette information pour calibrer tes décisions en temps réel.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L03.webp
84,5,4,Break-even bluff : à quelle fréquence ton bluff doit-il passer pour être rentable ?,Combien de fois ton bluff doit-il fonctionner pour être rentable ? Le calcul du break-even transforme le bluff en décision chiffrée plutôt qu'en pari sur l'instinct.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L04.webp
85,5,5,Fold Equity : quand la probabilité de faire folder suffit à rendre une mise rentable,"La fold equity, c'est la valeur cachée de ta mise : la probabilité que l'adversaire plie. Comment l'estimer, pourquoi elle est déterminante dans les spots de semi-bluff et de resteal.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L05.webp
86,5,6,ICM (bases) : comprendre la valeur réelle des jetons en bulle,"Dans un tournoi, tous les chips ne valent pas pareil. L'ICM traduit ton stack en valeur monétaire réelle. Comprends les bases pour ne plus prendre des décisions de cash-game en fin de tournoi.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L06.webp
87,5,7,"ICM avancé : décisions de table finale, push/fold et pression des paliers","Bubbles, deal making, final table play — l'ICM avancé couvre les situations complexes où la pression monétaire modifie radicalement les ranges optimales. Pour ne plus jamais se tromper aux moments qui comptent.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L07.webp
88,5,8,Push/fold charts : comprendre et utiliser les ranges Nash (version simplifiée et appliquée aux MTT),"En dessous de 15bb, le jeu se simplifie : push ou fold. Les charts push/fold donnent les ranges mathématiquement optimales selon ta position et la profondeur de stack. Apprends à les lire et les mémoriser.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L08.webp
89,5,9,"Calcul mental rapide : la règle du 2-4-8, les outs et les pourcentages essentiels","Pas besoin d'une calculatrice au poker. Les raccourcis mentaux pour estimer l'équité, les pot odds et l'EV en quelques secondes — les réflexes mathématiques qui accélèrent tes décisions à la table.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L09.webp
90,5,10,Risk / Reward & Ratio : mesurer précisément le gain potentiel d’une action,"Chaque mise est un rapport risque/récompense. Comment évaluer rapidement si un spot mérite d'être joué en fonction de ce que tu risques versus ce que tu peux gagner, en intégrant toutes les variables.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L10.webp
91,5,11,Variance & Winrate : comprendre les swings et la réalité mathématique des MTT,"Le poker récompense sur le long terme, pas à la session. Comprends la variance, ce qu'est un winrate réaliste et comment distinguer une mauvaise série d'un vrai problème de jeu.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L11.webp
92,5,12,ROI & ITM : comprendre les indicateurs de performance en tournois et ce qu’ils signifient réellement,"Le ROI mesure ta rentabilité globale en tournoi, l'ITM ta fréquence de finish dans l'argent. Comment interpréter ces métriques, les objectifs réalistes selon les formats et ce qu'ils révèlent sur ton jeu.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L12.webp
93,5,13,Abattage vs Non-Abattage : comprendre la valeur cachée des coups que personne ne voit,"Certains pots vont au showdown, d'autres pas. Comment adapter tes sizing et tes lignes selon que tu anticipes un abattage ou non — et pourquoi cette distinction change ta façon de construire une main.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L13.webp
94,5,14,Pot Control mathématique : maîtriser la taille du pot pour conserver ton avantage EV,"Le pot control n'est pas qu'une intuition — c'est un calcul. Comment utiliser les maths pour décider quand ralentir, quel sizing utilise pour garder le pot gérable avec tes mains marginales.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M5-L14.webp
